# Variable: nd
# Sample shape: (10, 2, 2)
# Date: 2017-08-31 00:45:36.879871
-6.938104529297137724e-01,1.506516401322902876e+00,3.629579266737008592e-01,1.896840343099918114e-01
1.228471472227696593e+00,-6.148739746159737063e-01,1.903495675317075086e-01,1.263500588374756317e+00
2.082729133599334759e+00,7.590770446878790656e-01,1.100586782102876304e+00,1.051199833947549678e+00
1.095813744809275292e+00,1.962078549286662366e+00,2.405636795416774554e+00,-8.862742779579346752e-02
2.523134326320444210e+00,1.403797698533379990e+00,7.227410851273452508e-01,2.437470054795801033e+00
-1.718841724757473877e-01,2.179728966362641351e+00,-9.800866534125678431e-01,4.747736499507416719e-01
1.452289727185810397e+00,-1.681294162348407006e+00,9.521384878967095178e-01,1.204051710338015724e+00
7.774516941921736368e-01,2.551484937156311972e-02,9.863381297117775892e-01,-3.424752017781500513e-01
1.837401668396440702e+00,-1.080728648564024841e+00,1.240689647175470256e+00,-6.215922496571431033e-01
1.994633148340910767e+00,1.824464298049317534e+00,2.118096399185388279e+00,3.216469972961547574e-01
